id,filename,pid,text
0,inserm-00851058.training.tei.xml,0,"The influences of sex and age upon endurance performance have previously been documented for both running and swimming.Age and sex influences upon performance have also been investigated for ultra-triathlons with distances corresponding to several Ironman distances and lasting several days, and for off-road triathlons combining swimming, mountain biking and trail running. Triathlon represents an intriguing alternative model for analyzing the effects of age and sex upon endurance and ultra-endurance (> 6 hours) performance because sex differences and age-related declines in performance can be analyzed in the same persons across the three separate disciplines. The relative participation of both females and masters athletes (age > 40 years old) in triathlon has increased consistently over the past 25 years. Sex differences in triathlon performance are also known to differ between the modes of locomotion adopted (swimming, cycling or running) for both elite and non-elite triathletes. Generally, time differences between sexes in swimming have been shown to be smaller on average than during cycling and running. Both physiological and morphological factors contribute to explaining these findings. Performance density (i.e. the time difference between the winner and 10 th placed competitor) has progressively improved (time differences have decreased) for international races over the past two decades for both males and females, with performance density now very similar for both sexes. For age-group triathletes, sex differences in total triathlon performance time increases with age. The possible difference in age-related changes in the physiological determinants of endurance and ultra-endurance performances between males and females needs further investigation however. Non"
1,inserm-00851058.training.tei.xml,1,"Triathlon is a unique endurance sport that combinesthree disciplines (swimming, cycling and running) over a variety of distances.  Triathlon first appeared at the end of 1970""s and in only one-quarter of a century has developed into a well-organized sport with global participation."
2,inserm-00851058.training.tei.xml,2,"The first Hawaii Ironman triathlon consisting of a3.8km swim, 180km cycle and 42km run had 12 male participants in 1978. Currently, more than 1700 triathletes , most of whom have to qualify at one of 25 Ironman triathlons worldwide, participate in this event which has become the Ironman World Championship.  Short or Olympic distance triathlons (1.5km swim, 40km cycle and 10km run) have also rapidly grown in popularity during approximately the same period with the first World Championship being held in Avignon (France) in 1989. Triathlon was officially accepted into the Olympic games as a full sport in Sydney in 2000.  Ultra-triathlons, consisting of distances greater than Ironman distance include double Ironman triathlons (7.6km swim, 360km cycle and 84 km run) and decaIronman triathlon (38km swim, 1800km cycle and 420 km run) also appeared during the 1980""s with the first double Ironman triathlon held in 1985 in Huntsville (USA).  More recently, in addition to conventional road based triathlon, off-road triathlon combining swimming, mountain biking and trail running has also established itself in the field of endurance sports, and has grown very rapidly in popularity.  Triathlon performance has been studied from numerous perspectives by a number of research groups over approximately the same period that the sport has grown. Research has investigated physiological  , biomechanical  , training  , nutritional  or medical  aspects of triathlon performance. Although Ironman triathlon is a relatively new ultra-endurance event, recently elite Ironman triathletes appear to have reached their performance limits  as has been observed in more traditional sports such as marathon running where performance times have plateaued.  With the increase in popularity of endurance sports worldwide, endurance sports have attract a greater participation of female and masters athletes (age >40 years) during recent times.  This review addresses the specific aspects of: i) sex differences and ii) age-related declines in triathlon performance. Sex differences in performance will be presented and discussed for each of the three disciplines and total event times for different distances and for both elite and age group triathletes. Age-related declines will be outlined by focusing on the performances of the best master triathletes because these athletes represent a unique model for studying the effects of high levels of physical training in persons of older age."
3,inserm-00851058.training.tei.xml,3,"Independent of age, the number of females competing in triathlon has increased progressively since the1980""s. For example, between 2000 and 2011, female USA Triathlon membership has grown from 27 % of the total number of annual members to more than 38 %.  Factors leading to this growth include society""s increasing acceptance of ""active"" females; females feeling more comfortable living an active lifestyle , and the growth of females-only events, good examples of which are the ""Danskin"" and ""Trek Triathlon"" Series in USA."
4,inserm-00851058.training.tei.xml,4,"The rates of female participation appear to decrease with an increase in distance of triathlon races. For example, in2010 females accounted for 26%, 19% and 13% of athletes competing at short, half-Ironman and full-Ironman distance triathlons held in the region of Zurich (Switzerland)  . However, for ultra-triathlons, female participation remains relatively low, representing generally less than 10% of overall participant numbers.  The number of females finishing the Hawaii Ironman World Championship increased from 20 in 1981 (6% of participants) to more than 470 in 2010 (27 % of participants).  In Europe, there was also a progressive rise in the number of female Ironman finishers but overall rates were lower. In 2011, females accounted for 13% of the field at Ironman Switzerland.  Lower rates of female participation in Europe may because European Ironman triathlon is relatively younger compared to the Hawaii Ironman triathlon. Indeed, the first Hawaii Ironman was held in 1978, while one the first European Ironman, Ironman Switzerland, was held in 1995. Female participation in Ironman triathlon remains slightly lower compared to traditional endurance events such as marathon running, but greater than ultra-endurance events such as a 161-km ultramarathon. For example, Lepers & Cattagni  showed that the relative participation of females at the New-York City Marathon increased over the last 30 years from 17% to 33% of the total field. In contrast, females accounted for 20 % of the finishers in the same time period at 161-km ultramarathons in North America. "
5,inserm-00851058.training.tei.xml,5,"Physiological and morphological characteristics may account for the sex differences seen in triathlon performance.Even though there is a lesser amount of data for females compared to males, studies have shown that maximal oxygen uptake ( V  O 2max ), lactate threshold and running economy interact similarly in females as determinants of endurance performance as they do in males.  Current explanations for sex differences in V  O 2max among elite athletes, when expressed relative to body mass, provide two major findings.  First, elite females have more  body fat than males.  Indeed, much of the difference in V  O 2max between males and females disappears when it is expressed relative to lean body mass.  Second, the hemoglobin concentration of elite athletes is 5-10% lower in females than in males.  Concerning lactate threshold, there is no reason to believe that values should be lower in females than in males because mitochondrial adaptations in the skeletal muscles of highly-trained male and female athletes appear to be similar.  Finally, the average oxygen cost to run a given speed, (i.e. running economy) by groups of elite male and female athletes is similar and appears to play the same role in determining success in endurance performance. Therefore, the major physiological reason that explains the slower record performances by females compared to males is probably the lower V  O 2max values observed in females."
6,inserm-00851058.training.tei.xml,6,"Physiological differences between male and female triathletes have been infrequently investigated. The differences in the physiological responses in cycling and the energy cost of running after cycling have been compared in males and females for both elite junior and senior triathletes. These authors showed that senior females had a significantly higher cycling peak power output than their junior counterparts. Additionally, senior males had a higher ventilatory threshold than junior males whereas the ventilatory threshold was similar in junior and senior females."
7,inserm-00851058.training.tei.xml,7,"A recent study conducted on junior triathletes has suggested that morphological characteristics of triathletes have evolved since late1990""s.  In 2011, both male and female junior elite triathletes appeared more ectomorphic than their 1997 counterparts."
8,inserm-00851058.training.tei.xml,8,"Nowadays, junior triathletes are proportionally lighter, with significantly smaller flexed arm and thigh girths, and femur breadths. The junior males in2011 also had significantly longer segmental lengths and lower endomorphic values than their 1997 counterparts."
9,inserm-00851058.training.tei.xml,9,"More research is required however, to validate these findings for senior triathletes."
