id,filename,par_id,material
0,PR06014617-CC,4,x = 0.10
1,PR06014617-CC,4,0.15
2,PR06014617-CC,4,0.20
3,PR06014617-CC,4,0.22
4,PR06014617-CC,4,0.24
5,PR06014617-CC,4,Hg-1201
6,PR06014617-CC,4,Hg-1201
7,PR06114956-CC,5,z=0.39
8,PR06114956-CC,8,BSLCO crystals
9,PR06114956-CC,17,BSLCO
10,PR05003221-CC,3,x=0.15
11,PR05003221-CC,3,x=0.15
12,PR05713422-CC,2,slightly overdoped HgBa 2 CuO 4+δ (Hg-1201)
13,PR05713422-CC,2,slightly underdoped HgBa 2 Ca 2 Cu 3 O 8+δ (Hg-1223)
14,PR05713422-CC,3,YBCO 7
15,PR05713422-CC,3,YBCO 6.7
16,PR05713422-CC,3,YBCO 6.57
17,PR05713422-CC,3,YBCO 6.57
18,PR05713422-CC,3,YBCO 6.57
19,PR05713422-CC,3,YBCO 6.57
20,PR05514152-CC,4,Bi 2 Sr 2 CuO 6
21,PR05514152-CC,6,Bi 2 Sr 2 Cu0 6 single crystals
22,PR05514152-CC,6,Bi 2 Sr 2 Cu0 6 single crystals
23,PR05814617-CC,3,Y- 123
24,PR05814617-CC,4,(189 and 259) were grown in Al 2 O 3 crucibles
25,PR05814617-CC,4,"third crystal (315), grown in Y 2 O 3"
26,PR05814617-CC,5,Y-123
27,PR05814617-CC,5,Y-123
28,PR05814617-CC,10,Y-123
29,PR06103808-CC,2,nearly opti- mally doped HgBa 2 CuO 4+x
30,PR06103808-CC,2,slightly over- doped HgBa 2 CuO 4+x
31,PR06103808-CC,5,HgBa 2 CuO 4+x (x=0.10
32,PR06103808-CC,8,p ∼ 0.09
33,PR06103808-CC,8,0.18
34,PR06103808-CC,8,Hg-1201
35,PR06103808-CC,9,Hg-1201
36,PR04310568-CC,2,"fully doped orthorhombic RBa 2 Cu 3 O 7−y (R=Y, rare earth)"
37,PR06013094-CC,3,
38,PR05809504-CC,1,"oxygen-deficient, fluorine-free polycrystalline samples with nominal chemical formula NdFeAsO 1-y"
39,PR05809504-CC,2,LaFeAs(O 1-x F x )
40,PR05809504-CC,2,oxygen-deficient NdFeAsO 1-y
41,PR05809504-CC,11,1-y=0.75 and 0.70
42,PR05809504-CC,11,1-y=0.80
43,PR05809504-CC,11,"oxygen-deficient, fluorine-free NdFeAsO 1-y"
44,PR05809504-CC,13,1-y*=0.94
45,PR05809504-CC,14,"oxygen-deficient, fluorine-free NdFeAsO 1-y"
46,PR06100107-CC,1,La2−xSrxCuO4
47,PR06100107-CC,1,La2−xSrxCuO4
48,PR06100107-CC,12,x = 0.15
49,PR06100107-CC,12,x = 0.15
50,PR06100107-CC,12,LSCO
51,PR06100107-CC,19,LSCO
52,PR0446999-CC,1,x = 0.5
53,PR0446999-CC,2,Eu 0.5 K 0.5 Fe 2 As 2
54,PR0446999-CC,3,EuFe 2 As 2
55,PR05914099-CC,1,RuSr2GdCu2O8
56,PR05914099-CC,2,Sr 2 RuO 4
57,PR05914099-CC,3,1212-type RuSr 2 GdCu 2 O 8
58,PR05914099-CC,4,RuSr 2 GdCu 2 O 8
