id,filename,pid,material
0,PR06014617-CC.superconductors.tei.xml,1,La2−xSrxCuO4
1,PR06014617-CC.superconductors.tei.xml,1,HgBa2CuO 4+δ
2,PR06014617-CC.superconductors.tei.xml,3,La 2−x Sr x CuO 4
3,PR06014617-CC.superconductors.tei.xml,3,HgBa 2 CuO 4+δ
4,PR06014617-CC.superconductors.tei.xml,3,"La 2−x Sr x CuO 4 (LSCO) with x = 0.10, 0.15, 0.20, 0.22, 0.24"
5,PR06014617-CC.superconductors.tei.xml,3,"HgBa 2 CuO 4+δ (Hg-1201) with δ = 0.10, 0.37"
6,PR06014617-CC.superconductors.tei.xml,4,Single-phase polycrystalline samples of LSCO
7,PR06014617-CC.superconductors.tei.xml,4,x = 0.10
8,PR06014617-CC.superconductors.tei.xml,4,0.15
9,PR06014617-CC.superconductors.tei.xml,4,0.20
10,PR06014617-CC.superconductors.tei.xml,4,0.22
11,PR06014617-CC.superconductors.tei.xml,4,0.24
12,PR06014617-CC.superconductors.tei.xml,4,x = 0.10 and 0.15
13,PR06014617-CC.superconductors.tei.xml,4,Hg-1201
14,PR06014617-CC.superconductors.tei.xml,4,LSCO
15,PR06014617-CC.superconductors.tei.xml,4,"x = p = 0.10, 0.15, 0.20, 0.22 and 0.24"
16,PR06014617-CC.superconductors.tei.xml,4,Tl 2 Ba 2 CuO 6+δ
17,PR06014617-CC.superconductors.tei.xml,4,Hg-1201
18,PR06014617-CC.superconductors.tei.xml,4,δ = 0.10 and 0.37
19,PR06014617-CC.superconductors.tei.xml,4,δ = 0.10 and 0.37 in Hg-1201
20,PR06014617-CC.superconductors.tei.xml,5,LSCO
21,PR06014617-CC.superconductors.tei.xml,5,x = 0.10 and 0.15
22,PR06014617-CC.superconductors.tei.xml,5,x = 0.24
23,PR06014617-CC.superconductors.tei.xml,5,polycrystalline LSCO
24,PR06014617-CC.superconductors.tei.xml,5,Hg-1201 powders
25,PR06014617-CC.superconductors.tei.xml,5,Hg-1201
26,PR06014617-CC.superconductors.tei.xml,5,δ = 0.154
