"6","PR06014617","4","LSCO","30K","",""
"6","PR06014617","4","LSCO","37.7K","",""
"6","PR06014617","4","LSCO","36K","",""
"6","PR06014617","4","LSCO","27.5K","",""
"6","PR06014617","4","LSCO","20.3K","",""
"6","PR06014617","4","Hg-1201","60K","",""
"6","PR06014617","4","Hg-1201","35K","",""
"7","PR06114956","5","Bi2Sr2−zLazCuO6+δ","36 K","",""
"11","PR05003221","3","x=0.15","38 K","ambient pressure",""
"11","PR05003221","3","x=0.15","42K","∼2 GPa",""
"13","PR05713422","2","slightly overdoped HgBa 2 CuO 4+δ (Hg-1201)","93 K","",""
"13","PR05713422","2","slightly underdoped HgBa 2 Ca 2 Cu 3 O 8+δ (Hg-1223)","135 K","",""
"16","PR05713422","3","YBCO 7","92 K","","susceptibility"
"16","PR05713422","3","YBCO 6.7","66 K","","susceptibility"
"16","PR05713422","3","YBCO 6.57","56 K","","susceptibility"
"22","PR05814617","4","MgB2","29K","ambient pressure",""
"25","PR05814617","10","Y-123","92K","",""
"27","PR06103808","2","HgBa2CuO4+x","96K","None","vortex imaging and optical measurements"
"27","PR06103808","2","HgBa2CuO4+x","93K","None","ac-susceptibility measurements"
"28","PR06103808","5","HgBa 2 CuO 4+x (x=0.10","60 K","",""
"34","PR06013094","3","YBa2Cu4O8","3.4K","0",""
"35","PR05809504","0","oxygen-deficient, fluorine-free polycrystalline samples with nominal chemical formula NdFeAsO 1-y","53 K","",""
"37","PR05809504","1","LaFeAs(O 1-x F x )","26 K","",""
"37","PR05809504","1","oxygen-deficient NdFeAsO 1-y","54 K","",""
"39","PR05809504","10","1-y=0.75 and 0.70","50 K","","magnetic susceptibility"
"39","PR05809504","10","1-y=0.80","35 K","","magnetic susceptibility"
"40","PR05809504","12","MgB2","53 K","None","None"
"41","PR05809504","13","oxygen-deficient, fluorine-free NdFeAsO 1-y","53 K","",""
"46","PR06100107","12","x = 0.15","51.6 K","ambient P",""
"46","PR06100107","12","x = 0.15","51.6 K","8 GPa",""
"46","PR06100107","12","LSCO","51.6K","8 GPa",""
"47","PR06100107","19","LSCO","51.6 K","8 GPa",""
"48","PR0446999","0","Eu 1−x K x Fe 2 As 2","32 K","","specific heat"
"49","PR0446999","1","Eu 0.5 K 0.5 Fe 2 As 2","32 K","",""
"53","PR05914099","3","1212-type RuSr 2 GdCu 2 O 8","15-40","",""
"54","PR05914099","4","RuSr 2 GdCu 2 O 8","16 K","None","None"
"55","PR05914099","8","RuSr2GdCu2O8","16 K","","resistivity"
"56","PR05914099","11","RuSr 2 GdCu 2 O 8","16 K","","magnetization"
"58","PR05914099","13","RuSr2GdCu2O8","16 K","","magnetization"
"59","PR05914099","23","RuSr 2 GdCu 2 O 8","16 K","None","None"
"60","PR05914099","27","RuSr 2 GdCu 2 O 8","16 K","","magnetization"
"64","PR05907184","3","LSCO","40 K","",""
"64","PR05907184","3","LSCO","0","",""
"68","PR05907184","8","Sr x = 0.14","36 K","",""
"68","PR05907184","8","x = 0.13","32 K","",""
"68","PR05907184","8","x = 0.17","40 K","",""
"69","PR05907184","25","La 2−x Sr x CuO 4","32 K","None","None"
"70","PR06006991","3","Bi 2 Sr 2−x La x CuO 6 with x≃0.4","30 K","",""
"76","PR06006991","5","BSLCO","24","1 atmosphere of flowing oxygen",""
"76","PR06006991","5","BSLCO","30","1 atmosphere of flowing oxygen",""
"76","PR06006991","5","BSLCO","33","1 atmosphere of flowing oxygen",""
"76","PR06006991","5","BSLCO","28.5","1 atmosphere of flowing oxygen",""
"76","PR06006991","5","BSLCO","20","1 atmosphere of flowing oxygen",""
"76","PR06006991","5","BSLCO","33 K","1 atmosphere of flowing oxygen",""
