"6","PR06014617","4","LSCO","27.5","",""
"6","PR06014617","4","LSCO","36","",""
"6","PR06014617","4","LSCO","37.7","",""
"6","PR06014617","4","Hg-1201","60K","",""
"6","PR06014617","4","Hg-1201","35K","",""
"6","PR06014617","4","LSCO","20.3","",""
"6","PR06014617","4","LSCO","30","",""
"7","PR06114956","5","Bi2Sr2−zLazCuO6+δ","36 K","",""
"11","PR05003221","3","x=0.15","38 K","ambient pressure",""
"11","PR05003221","3","x=0.15","42K","∼2 GPa",""
"13","PR05713422","2","slightly overdoped HgBa 2 CuO 4+δ (Hg-1201)","93 K","",""
"13","PR05713422","2","slightly underdoped HgBa 2 Ca 2 Cu 3 O 8+δ (Hg-1223)","135 K","",""
"16","PR05713422","3","YBCO 7","92 K","","susceptibility"
"16","PR05713422","3","YBCO 6.7","66 K","","susceptibility"
"16","PR05713422","3","YBCO 6.57","56 K","","susceptibility"
"19","PR05514152","5","Bi 2 Sr 2 Cu0 6 single crystals","7-8 K","","resistivity"
"19","PR05514152","5","Bi 2 Sr 2 Cu0 6 single crystals","7-8 K","","susceptibility"
"20","PR05814617","3","Y-123","60K","",""
"22","PR05814617","4","third crystal (315), grown in Y 2 O 3","80K","",""
"22","PR05814617","4","(189 and 259) were grown in Al 2 O 3 crucibles","72K","",""
"24","PR05814617","5","Y-123","92K","",""
"24","PR05814617","5","Y-123","92K","",""
"25","PR05814617","10","Y-123","92K","",""
"27","PR06103808","2","nearly opti- mally doped HgBa 2 CuO 4+x","96K","",""
"27","PR06103808","2","slightly over- doped HgBa 2 CuO 4+x","93K","",""
"28","PR06103808","5","HgBa 2 CuO 4+x (x=0.10","60 K","",""
"31","PR06103808","8","Hg-1201","96K","",""
"35","PR05809504","0","oxygen-deficient, fluorine-free polycrystalline samples with nominal chemical formula NdFeAsO 1-y","53 K","",""
"37","PR05809504","1","oxygen-deficient NdFeAsO 1-y","54 K","",""
"37","PR05809504","1","LaFeAs(O 1-x F x )","26 K","",""
"39","PR05809504","10","1-y=0.75 and 0.70","50 K","","magnetic susceptibility"
"39","PR05809504","10","1-y=0.80","35 K","","magnetic susceptibility"
"41","PR05809504","13","oxygen-deficient, fluorine-free NdFeAsO 1-y","53 K","",""
"43","PR06100107","1","La2−xSrxCuO4","38K","ambient pressure",""
"43","PR06100107","1","La2−xSrxCuO4","51.6K","8GPa",""
"46","PR06100107","12","x = 0.15","51.6 K","8 GPa",""
"46","PR06100107","12","x = 0.15","38 K","ambient P",""
"47","PR06100107","19","LSCO","51.6 K","8 GPa",""
"48","PR0446999","0","x = 0.5","32 K","","specific heat"
"49","PR0446999","1","Eu 0.5 K 0.5 Fe 2 As 2","32 K","",""
"50","PR0446999","2","EuFe 2 As 2","29 K","2 GPa","None"
"51","PR05914099","1","RuSr2GdCu2O8","16 K","","magnetization"
"52","PR05914099","2","Sr 2 RuO 4","1.5 K","",""
"53","PR05914099","3","1212-type RuSr 2 GdCu 2 O 8","15-40","",""
"54","PR05914099","4","RuSr 2 GdCu 2 O 8","16 K","",""
"58","PR05914099","13","RuSr2GdCu2O8","16 K","","magnetization"
"60","PR05914099","27","RuSr 2 GdCu 2 O 8","16 K","","magnetization"
"68","PR05907184","8","Sr x = 0.14","36 K","",""
"68","PR05907184","8","x = 0.13","32 K","",""
"76","PR06006991","5","BSLCO","33 K","",""
"76","PR06006991","5","0.30","30","",""
"76","PR06006991","5","0.44","28.5","",""
"76","PR06006991","5","0.66","20","",""
"76","PR06006991","5","0.57","33","",""
"76","PR06006991","5","x=0.24","24","",""
"81","PR06114350","4","x=0","28.7","","resistivity"
"81","PR06114350","4","0.01","21.2","","resistivity"
"81","PR06114350","4","0.02","17.4","","resistivity"
"84","SST01600L7","7","x = 0.063","11K","","SQUID magnetometer"
"84","SST01600L7","7","x = 0.125","31K","","SQUID magnetometer"
"89","EPL0580589","8","underdoped Bi-2212","77 K","",""
"90","EPL0580589","9","overdoped Bi-2212","74 K","",""
"93","EPL0580589","10","underdoped and overdoped Bi-2212","82 K","",""
"93","EPL0580589","10","underdoped and overdoped Bi-2212","82 K","",""
"93","EPL0580589","10","underdoped and overdoped Bi-2212","56 K","",""
"94","EPL0580589","11","overdoped Bi-2212","56 K","",""
"96","EPL0580589","12","overdoped Bi-2212","48 K","",""
"96","EPL0580589","12","overdoped Bi-2212","55 K","",""
"98","EPL0580589","19","underdoped Bi-2212","77 K","",""
"100","Tanaka_etal_2017","1","non-doped CeOBiS2","up to ~3.8 K","",""
"102","Tanaka_etal_2017","19","Ce(O,F)BiS2","3.1 K","",""
"104","Tanaka_etal_2017","21","CeOBiS2","3.2 K","1.62 GPa",""
"107","Tanaka_etal_2017","25","CeOBiS2 crystals","3.8 K","hydrostatic pressure","applying"
"108","Drozdov_etal_2015","0","sulfur hydride","203 kelvin","high pressures",""
"113","Drozdov_etal_2015","1","sulfur hydride","203 kelvin","high pressures","magnetic sus- ceptibility"
"113","Drozdov_etal_2015","1","sulfur hydride","80 kelvin","","predicted"
"113","Drozdov_etal_2015","1","sulfur hydride","203 kelvin","","resistivity"
"113","Drozdov_etal_2015","1","sulfur hydride","133 kelvin","ambient pressure",""
"113","Drozdov_etal_2015","1","sulfur hydride","164 kelvin","",""
"114","Drozdov_etal_2015","2","MgB 2","39 K","",""
"116","Drozdov_etal_2015","3","molecular hydrogen","100-240 K","500 GPa","calculations"
"116","Drozdov_etal_2015","3","molecular hydrogen","300-350 K","500 GPa","calculations"
"117","Drozdov_etal_2015","4","H2S","< 80 K","< 100 GPa",""
"125","Drozdov_etal_2015","9","H 2 S","< 80 K","","calculations"
"125","Drozdov_etal_2015","9","H 3 S","< 80 K","","predicted"
"125","Drozdov_etal_2015","9","H 2 S","<200 K","","calculations"
"125","Drozdov_etal_2015","9","H 3 S","200 K","","calculated"
"125","Drozdov_etal_2015","9","H 3 S","< 190 K","","prediction"
"125","Drozdov_etal_2015","9","H 3 S","190 K","",""
"129","Drozdov_etal_2015","20","sulfur hydride","195 K","145 GPa","resistance"
"129","Drozdov_etal_2015","20","sulfur hydride","170 K","145 GPa","resistance"
"129","Drozdov_etal_2015","20","sulfur hydride","250 K","145 GPa","resistance"
"134","Drozdov_etal_2015","23","sulfur hydride","195 K","145 GPa","Resistivity"
"134","Drozdov_etal_2015","23","sulfur hydride","203 K","155 GPa","magnetization"
"134","Drozdov_etal_2015","23","sulfur hydride","203.5 K","155 GPa","magnetization"
"137","Drozdov_etal_2015","25","sulfur hydride","22 K","143 GPa","resistance"
"137","Drozdov_etal_2015","25","sulfur hydride","< 60 K","143 GPa","resistance"
"138","L088227002","1","Sr 0.9 La 0.1 CuO 2","43 K","",""
"142","L088227002","3","1% Zn-SLCO","43 K","","Magnetization studies"
"142","L088227002","3","SLCO","43 K","","Magnetization studies"
"142","L088227002","3","1% Ni-SLCO","32 K","","Magnetization studies"
"143","L088227002","16","doped YBa 2 Cu 3 O 72d","92.5 6 0.5 K","",""
"147","SSC1310125","17","Na 0.22 H 0.1 CoO 2 • 0.85H 2 O","4.4 K","5000 kg/cm 2 ","as-pressed pellets"
"147","SSC1310125","17","Na 0.22 H 0.1 CoO 2 • 0.85H 2 O","1.9 K","None","as-pressed pellets"
"147","SSC1310125","17","Na 0.22 H 0.1 CoO 2 • 0.85H 2 O","1.9 K","None","fresh pellet"
"148","L093156802","2","CaC 6","11.5 K","",""
"149","L093156802","4","CaC 6","11.4 K","",""
"152","L095167004","1","AOs 2 O 6 (A = Cs, Rb, K)","8.2 K","2 GPa","resistivity"
"152","L095167004","1","AOs 2 O 6 (A = Cs, Rb, K)","10 K","0.6 GPa","resistivity"
