id,filename,passage_id,material,tcValue,pressure,me_method,text
0,PR06014617-CC,4,x = 0.10,30,,,"Single-phase polycrystalline samples of LSCO were prepared in Cambridge using solid-state reaction proce- dures. No other phases were detected by powder x-ray diffraction and the phase purity is thought to be bet- ter than 1%. Lattice parameters were in good agreement with published work . High field magnetic susceptibil- ity measurements showed no signatures of excess param- agnetic centres.  The measured T c 's are 30, 37.7, 36, 27.5 and 20.3 K for x = 0.10, 0.15, 0.20, 0.22 and 0.24, re- spectively.      These values are also in very good agreement with previous measurements . µSR experiments as a function of T were performed on the same powders for x = 0.10 and 0.15. Although unoriented powders can be used to determine λ ab by µSR , the acs technique re- quires the powders to be magnetically aligned .To eliminate grain agglomerates, powders were ball-milled in ethanol and dried after adding a defloculant. Scan- ning electron microscopy confirmed the absence of grain boundaries and showed that the average grain diameter was ∼ 5µm.The powders were mixed with a 5 min curing epoxy and aligned in a static field of 12T at room tem- perature. Debye-Scherrer x-ray scans showed that ∼ 90% of the grains were aligned within ∼ 2.0 o .Low-field sus- ceptibility measurements were performed at an ac-field H ac = 1 G rms (parallel to the c-axis) and a frequency f = 333 Hz down to 1.2K.  Details of the application of London's model for deriving λ from the measured sus- ceptibility can be found in an earlier publication .  Transverse-field-cooled µSR experiments were performed at 400 Gauss in the ISIS, Rutherford-Appleton Labora- tory. The field produced a flux-line lattice whose field distribution was probed by muons. The depolarisation rate, σ(T ), of the initial muon spin is proportional to λ ab −2 (T ) . Checks were made to ensure that the values of λ ab obtained were independent of the applied field. The Hg-1201 [δ = 0.10 (T c = 60K) and 0.37 (T c = 35K)] samples were prepared in Houston by the con- trolled solid-vapour reaction technique . The values of λ ab (0) derived from the acs data for LSCO are 0.28, 0.26, 0.197, 0.193, 0.194 µm for x = p = 0.10, 0.15, 0.20, 0.22 and 0.24, respectively.Here p is the hole content per planar copper atom. The esti- mated error for λ ab (0) obtained by the acs technique is ±15% and within this uncertainty the λ ab (0) values agree with the µSR measurements.We thus find that λ −2 ab (0) is strongly suppressed on the underdoped side, including optimal doping, but there is no suppression with increas- ing overdoping (up to p = 0.24) in contrast to reports for Tl 2 Ba 2 CuO 6+δ.Values of λ ab (0) as obtained by µSR for Hg-1201 are 0.194 and 0.148 µm for δ = 0.10 and 0.37, respectively.We note that δ = 0.10 and 0.37 in Hg-1201 correspond to p = 0.075 and 0.22, respectively ."
1,PR06014617-CC,4,0.15,37.7,,,"Single-phase polycrystalline samples of LSCO were prepared in Cambridge using solid-state reaction proce- dures. No other phases were detected by powder x-ray diffraction and the phase purity is thought to be bet- ter than 1%. Lattice parameters were in good agreement with published work . High field magnetic susceptibil- ity measurements showed no signatures of excess param- agnetic centres.  The measured T c 's are 30, 37.7, 36, 27.5 and 20.3 K for x = 0.10, 0.15, 0.20, 0.22 and 0.24, re- spectively.      These values are also in very good agreement with previous measurements . µSR experiments as a function of T were performed on the same powders for x = 0.10 and 0.15. Although unoriented powders can be used to determine λ ab by µSR , the acs technique re- quires the powders to be magnetically aligned .To eliminate grain agglomerates, powders were ball-milled in ethanol and dried after adding a defloculant. Scan- ning electron microscopy confirmed the absence of grain boundaries and showed that the average grain diameter was ∼ 5µm.The powders were mixed with a 5 min curing epoxy and aligned in a static field of 12T at room tem- perature. Debye-Scherrer x-ray scans showed that ∼ 90% of the grains were aligned within ∼ 2.0 o .Low-field sus- ceptibility measurements were performed at an ac-field H ac = 1 G rms (parallel to the c-axis) and a frequency f = 333 Hz down to 1.2K.  Details of the application of London's model for deriving λ from the measured sus- ceptibility can be found in an earlier publication .  Transverse-field-cooled µSR experiments were performed at 400 Gauss in the ISIS, Rutherford-Appleton Labora- tory. The field produced a flux-line lattice whose field distribution was probed by muons. The depolarisation rate, σ(T ), of the initial muon spin is proportional to λ ab −2 (T ) . Checks were made to ensure that the values of λ ab obtained were independent of the applied field. The Hg-1201 [δ = 0.10 (T c = 60K) and 0.37 (T c = 35K)] samples were prepared in Houston by the con- trolled solid-vapour reaction technique . The values of λ ab (0) derived from the acs data for LSCO are 0.28, 0.26, 0.197, 0.193, 0.194 µm for x = p = 0.10, 0.15, 0.20, 0.22 and 0.24, respectively.Here p is the hole content per planar copper atom. The esti- mated error for λ ab (0) obtained by the acs technique is ±15% and within this uncertainty the λ ab (0) values agree with the µSR measurements.We thus find that λ −2 ab (0) is strongly suppressed on the underdoped side, including optimal doping, but there is no suppression with increas- ing overdoping (up to p = 0.24) in contrast to reports for Tl 2 Ba 2 CuO 6+δ.Values of λ ab (0) as obtained by µSR for Hg-1201 are 0.194 and 0.148 µm for δ = 0.10 and 0.37, respectively.We note that δ = 0.10 and 0.37 in Hg-1201 correspond to p = 0.075 and 0.22, respectively ."
2,PR06014617-CC,4,0.20,36,,,"Single-phase polycrystalline samples of LSCO were prepared in Cambridge using solid-state reaction proce- dures. No other phases were detected by powder x-ray diffraction and the phase purity is thought to be bet- ter than 1%. Lattice parameters were in good agreement with published work . High field magnetic susceptibil- ity measurements showed no signatures of excess param- agnetic centres.  The measured T c 's are 30, 37.7, 36, 27.5 and 20.3 K for x = 0.10, 0.15, 0.20, 0.22 and 0.24, re- spectively.      These values are also in very good agreement with previous measurements . µSR experiments as a function of T were performed on the same powders for x = 0.10 and 0.15. Although unoriented powders can be used to determine λ ab by µSR , the acs technique re- quires the powders to be magnetically aligned .To eliminate grain agglomerates, powders were ball-milled in ethanol and dried after adding a defloculant. Scan- ning electron microscopy confirmed the absence of grain boundaries and showed that the average grain diameter was ∼ 5µm.The powders were mixed with a 5 min curing epoxy and aligned in a static field of 12T at room tem- perature. Debye-Scherrer x-ray scans showed that ∼ 90% of the grains were aligned within ∼ 2.0 o .Low-field sus- ceptibility measurements were performed at an ac-field H ac = 1 G rms (parallel to the c-axis) and a frequency f = 333 Hz down to 1.2K.  Details of the application of London's model for deriving λ from the measured sus- ceptibility can be found in an earlier publication .  Transverse-field-cooled µSR experiments were performed at 400 Gauss in the ISIS, Rutherford-Appleton Labora- tory. The field produced a flux-line lattice whose field distribution was probed by muons. The depolarisation rate, σ(T ), of the initial muon spin is proportional to λ ab −2 (T ) . Checks were made to ensure that the values of λ ab obtained were independent of the applied field. The Hg-1201 [δ = 0.10 (T c = 60K) and 0.37 (T c = 35K)] samples were prepared in Houston by the con- trolled solid-vapour reaction technique . The values of λ ab (0) derived from the acs data for LSCO are 0.28, 0.26, 0.197, 0.193, 0.194 µm for x = p = 0.10, 0.15, 0.20, 0.22 and 0.24, respectively.Here p is the hole content per planar copper atom. The esti- mated error for λ ab (0) obtained by the acs technique is ±15% and within this uncertainty the λ ab (0) values agree with the µSR measurements.We thus find that λ −2 ab (0) is strongly suppressed on the underdoped side, including optimal doping, but there is no suppression with increas- ing overdoping (up to p = 0.24) in contrast to reports for Tl 2 Ba 2 CuO 6+δ.Values of λ ab (0) as obtained by µSR for Hg-1201 are 0.194 and 0.148 µm for δ = 0.10 and 0.37, respectively.We note that δ = 0.10 and 0.37 in Hg-1201 correspond to p = 0.075 and 0.22, respectively ."
3,PR06014617-CC,4,0.22,27.5,,,"Single-phase polycrystalline samples of LSCO were prepared in Cambridge using solid-state reaction proce- dures. No other phases were detected by powder x-ray diffraction and the phase purity is thought to be bet- ter than 1%. Lattice parameters were in good agreement with published work . High field magnetic susceptibil- ity measurements showed no signatures of excess param- agnetic centres.  The measured T c 's are 30, 37.7, 36, 27.5 and 20.3 K for x = 0.10, 0.15, 0.20, 0.22 and 0.24, re- spectively.      These values are also in very good agreement with previous measurements . µSR experiments as a function of T were performed on the same powders for x = 0.10 and 0.15. Although unoriented powders can be used to determine λ ab by µSR , the acs technique re- quires the powders to be magnetically aligned .To eliminate grain agglomerates, powders were ball-milled in ethanol and dried after adding a defloculant. Scan- ning electron microscopy confirmed the absence of grain boundaries and showed that the average grain diameter was ∼ 5µm.The powders were mixed with a 5 min curing epoxy and aligned in a static field of 12T at room tem- perature. Debye-Scherrer x-ray scans showed that ∼ 90% of the grains were aligned within ∼ 2.0 o .Low-field sus- ceptibility measurements were performed at an ac-field H ac = 1 G rms (parallel to the c-axis) and a frequency f = 333 Hz down to 1.2K.  Details of the application of London's model for deriving λ from the measured sus- ceptibility can be found in an earlier publication .  Transverse-field-cooled µSR experiments were performed at 400 Gauss in the ISIS, Rutherford-Appleton Labora- tory. The field produced a flux-line lattice whose field distribution was probed by muons. The depolarisation rate, σ(T ), of the initial muon spin is proportional to λ ab −2 (T ) . Checks were made to ensure that the values of λ ab obtained were independent of the applied field. The Hg-1201 [δ = 0.10 (T c = 60K) and 0.37 (T c = 35K)] samples were prepared in Houston by the con- trolled solid-vapour reaction technique . The values of λ ab (0) derived from the acs data for LSCO are 0.28, 0.26, 0.197, 0.193, 0.194 µm for x = p = 0.10, 0.15, 0.20, 0.22 and 0.24, respectively.Here p is the hole content per planar copper atom. The esti- mated error for λ ab (0) obtained by the acs technique is ±15% and within this uncertainty the λ ab (0) values agree with the µSR measurements.We thus find that λ −2 ab (0) is strongly suppressed on the underdoped side, including optimal doping, but there is no suppression with increas- ing overdoping (up to p = 0.24) in contrast to reports for Tl 2 Ba 2 CuO 6+δ.Values of λ ab (0) as obtained by µSR for Hg-1201 are 0.194 and 0.148 µm for δ = 0.10 and 0.37, respectively.We note that δ = 0.10 and 0.37 in Hg-1201 correspond to p = 0.075 and 0.22, respectively ."
4,PR06014617-CC,4,0.24,20.3,,,"Single-phase polycrystalline samples of LSCO were prepared in Cambridge using solid-state reaction proce- dures. No other phases were detected by powder x-ray diffraction and the phase purity is thought to be bet- ter than 1%. Lattice parameters were in good agreement with published work . High field magnetic susceptibil- ity measurements showed no signatures of excess param- agnetic centres.  The measured T c 's are 30, 37.7, 36, 27.5 and 20.3 K for x = 0.10, 0.15, 0.20, 0.22 and 0.24, re- spectively.      These values are also in very good agreement with previous measurements . µSR experiments as a function of T were performed on the same powders for x = 0.10 and 0.15. Although unoriented powders can be used to determine λ ab by µSR , the acs technique re- quires the powders to be magnetically aligned .To eliminate grain agglomerates, powders were ball-milled in ethanol and dried after adding a defloculant. Scan- ning electron microscopy confirmed the absence of grain boundaries and showed that the average grain diameter was ∼ 5µm.The powders were mixed with a 5 min curing epoxy and aligned in a static field of 12T at room tem- perature. Debye-Scherrer x-ray scans showed that ∼ 90% of the grains were aligned within ∼ 2.0 o .Low-field sus- ceptibility measurements were performed at an ac-field H ac = 1 G rms (parallel to the c-axis) and a frequency f = 333 Hz down to 1.2K.  Details of the application of London's model for deriving λ from the measured sus- ceptibility can be found in an earlier publication .  Transverse-field-cooled µSR experiments were performed at 400 Gauss in the ISIS, Rutherford-Appleton Labora- tory. The field produced a flux-line lattice whose field distribution was probed by muons. The depolarisation rate, σ(T ), of the initial muon spin is proportional to λ ab −2 (T ) . Checks were made to ensure that the values of λ ab obtained were independent of the applied field. The Hg-1201 [δ = 0.10 (T c = 60K) and 0.37 (T c = 35K)] samples were prepared in Houston by the con- trolled solid-vapour reaction technique . The values of λ ab (0) derived from the acs data for LSCO are 0.28, 0.26, 0.197, 0.193, 0.194 µm for x = p = 0.10, 0.15, 0.20, 0.22 and 0.24, respectively.Here p is the hole content per planar copper atom. The esti- mated error for λ ab (0) obtained by the acs technique is ±15% and within this uncertainty the λ ab (0) values agree with the µSR measurements.We thus find that λ −2 ab (0) is strongly suppressed on the underdoped side, including optimal doping, but there is no suppression with increas- ing overdoping (up to p = 0.24) in contrast to reports for Tl 2 Ba 2 CuO 6+δ.Values of λ ab (0) as obtained by µSR for Hg-1201 are 0.194 and 0.148 µm for δ = 0.10 and 0.37, respectively.We note that δ = 0.10 and 0.37 in Hg-1201 correspond to p = 0.075 and 0.22, respectively ."
5,PR06014617-CC,4,Hg-1201,60K,,,"Single-phase polycrystalline samples of LSCO were prepared in Cambridge using solid-state reaction proce- dures. No other phases were detected by powder x-ray diffraction and the phase purity is thought to be bet- ter than 1%. Lattice parameters were in good agreement with published work . High field magnetic susceptibil- ity measurements showed no signatures of excess param- agnetic centres.  The measured T c 's are 30, 37.7, 36, 27.5 and 20.3 K for x = 0.10, 0.15, 0.20, 0.22 and 0.24, re- spectively.      These values are also in very good agreement with previous measurements . µSR experiments as a function of T were performed on the same powders for x = 0.10 and 0.15. Although unoriented powders can be used to determine λ ab by µSR , the acs technique re- quires the powders to be magnetically aligned .To eliminate grain agglomerates, powders were ball-milled in ethanol and dried after adding a defloculant. Scan- ning electron microscopy confirmed the absence of grain boundaries and showed that the average grain diameter was ∼ 5µm.The powders were mixed with a 5 min curing epoxy and aligned in a static field of 12T at room tem- perature. Debye-Scherrer x-ray scans showed that ∼ 90% of the grains were aligned within ∼ 2.0 o .Low-field sus- ceptibility measurements were performed at an ac-field H ac = 1 G rms (parallel to the c-axis) and a frequency f = 333 Hz down to 1.2K.  Details of the application of London's model for deriving λ from the measured sus- ceptibility can be found in an earlier publication .  Transverse-field-cooled µSR experiments were performed at 400 Gauss in the ISIS, Rutherford-Appleton Labora- tory. The field produced a flux-line lattice whose field distribution was probed by muons. The depolarisation rate, σ(T ), of the initial muon spin is proportional to λ ab −2 (T ) . Checks were made to ensure that the values of λ ab obtained were independent of the applied field. The Hg-1201 [δ = 0.10 (T c = 60K) and 0.37 (T c = 35K)] samples were prepared in Houston by the con- trolled solid-vapour reaction technique . The values of λ ab (0) derived from the acs data for LSCO are 0.28, 0.26, 0.197, 0.193, 0.194 µm for x = p = 0.10, 0.15, 0.20, 0.22 and 0.24, respectively.Here p is the hole content per planar copper atom. The esti- mated error for λ ab (0) obtained by the acs technique is ±15% and within this uncertainty the λ ab (0) values agree with the µSR measurements.We thus find that λ −2 ab (0) is strongly suppressed on the underdoped side, including optimal doping, but there is no suppression with increas- ing overdoping (up to p = 0.24) in contrast to reports for Tl 2 Ba 2 CuO 6+δ.Values of λ ab (0) as obtained by µSR for Hg-1201 are 0.194 and 0.148 µm for δ = 0.10 and 0.37, respectively.We note that δ = 0.10 and 0.37 in Hg-1201 correspond to p = 0.075 and 0.22, respectively ."
6,PR06014617-CC,4,Hg-1201,35K,,,"Single-phase polycrystalline samples of LSCO were prepared in Cambridge using solid-state reaction proce- dures. No other phases were detected by powder x-ray diffraction and the phase purity is thought to be bet- ter than 1%. Lattice parameters were in good agreement with published work . High field magnetic susceptibil- ity measurements showed no signatures of excess param- agnetic centres.  The measured T c 's are 30, 37.7, 36, 27.5 and 20.3 K for x = 0.10, 0.15, 0.20, 0.22 and 0.24, re- spectively.      These values are also in very good agreement with previous measurements . µSR experiments as a function of T were performed on the same powders for x = 0.10 and 0.15. Although unoriented powders can be used to determine λ ab by µSR , the acs technique re- quires the powders to be magnetically aligned .To eliminate grain agglomerates, powders were ball-milled in ethanol and dried after adding a defloculant. Scan- ning electron microscopy confirmed the absence of grain boundaries and showed that the average grain diameter was ∼ 5µm.The powders were mixed with a 5 min curing epoxy and aligned in a static field of 12T at room tem- perature. Debye-Scherrer x-ray scans showed that ∼ 90% of the grains were aligned within ∼ 2.0 o .Low-field sus- ceptibility measurements were performed at an ac-field H ac = 1 G rms (parallel to the c-axis) and a frequency f = 333 Hz down to 1.2K.  Details of the application of London's model for deriving λ from the measured sus- ceptibility can be found in an earlier publication .  Transverse-field-cooled µSR experiments were performed at 400 Gauss in the ISIS, Rutherford-Appleton Labora- tory. The field produced a flux-line lattice whose field distribution was probed by muons. The depolarisation rate, σ(T ), of the initial muon spin is proportional to λ ab −2 (T ) . Checks were made to ensure that the values of λ ab obtained were independent of the applied field. The Hg-1201 [δ = 0.10 (T c = 60K) and 0.37 (T c = 35K)] samples were prepared in Houston by the con- trolled solid-vapour reaction technique . The values of λ ab (0) derived from the acs data for LSCO are 0.28, 0.26, 0.197, 0.193, 0.194 µm for x = p = 0.10, 0.15, 0.20, 0.22 and 0.24, respectively.Here p is the hole content per planar copper atom. The esti- mated error for λ ab (0) obtained by the acs technique is ±15% and within this uncertainty the λ ab (0) values agree with the µSR measurements.We thus find that λ −2 ab (0) is strongly suppressed on the underdoped side, including optimal doping, but there is no suppression with increas- ing overdoping (up to p = 0.24) in contrast to reports for Tl 2 Ba 2 CuO 6+δ.Values of λ ab (0) as obtained by µSR for Hg-1201 are 0.194 and 0.148 µm for δ = 0.10 and 0.37, respectively.We note that δ = 0.10 and 0.37 in Hg-1201 correspond to p = 0.075 and 0.22, respectively ."
7,MAT0305503-CC,1,Na0.31CoO2•1.3H2O,4.3 K,,electrical,"We report the electrical, magnetic and thermal measurements on a layered cobalt oxyhydrate Na0.31CoO2•1.3H2O.   Bulk superconductivity at 4.3 K has been confirmed, however, the measured superconducting fraction is relatively low probably due to the sample's intrinsic two-dimensional characteristic.The compound exhibits weak-coupled and extreme type-II superconductivity with the average energy gap ∆a(0) and the Ginzburg-Landau parameter κ of ∼ 0.50 meV and ∼ 140, respectively. The normalized electronic specific heat data in the superconducting state well fit the T 3 dependence, suggesting point nodes for the superconducting gap structure."
8,MAT0305503-CC,1,Na0.31CoO2•1.3H2O,4.3 K,,magnetic,"We report the electrical, magnetic and thermal measurements on a layered cobalt oxyhydrate Na0.31CoO2•1.3H2O.   Bulk superconductivity at 4.3 K has been confirmed, however, the measured superconducting fraction is relatively low probably due to the sample's intrinsic two-dimensional characteristic.The compound exhibits weak-coupled and extreme type-II superconductivity with the average energy gap ∆a(0) and the Ginzburg-Landau parameter κ of ∼ 0.50 meV and ∼ 140, respectively. The normalized electronic specific heat data in the superconducting state well fit the T 3 dependence, suggesting point nodes for the superconducting gap structure."
9,MAT0305503-CC,1,Na0.31CoO2•1.3H2O,4.3 K,,thermal,"We report the electrical, magnetic and thermal measurements on a layered cobalt oxyhydrate Na0.31CoO2•1.3H2O.   Bulk superconductivity at 4.3 K has been confirmed, however, the measured superconducting fraction is relatively low probably due to the sample's intrinsic two-dimensional characteristic.The compound exhibits weak-coupled and extreme type-II superconductivity with the average energy gap ∆a(0) and the Ginzburg-Landau parameter κ of ∼ 0.50 meV and ∼ 140, respectively. The normalized electronic specific heat data in the superconducting state well fit the T 3 dependence, suggesting point nodes for the superconducting gap structure."
