id,filename,passage_id,material,tcValue,pressure,me_method,text
0,PR06014617,4|4,x = 0.10,30,,,"The measured T c 's are 30, 37.7, 36, 27.5 and 20.3 K for x = 0.10, 0.15, 0.20, 0.22 and 0.24, re- spectively."
1,PR06014617,4|4,0.15,37.7,,,"The measured T c 's are 30, 37.7, 36, 27.5 and 20.3 K for x = 0.10, 0.15, 0.20, 0.22 and 0.24, re- spectively."
2,PR06014617,4|4,0.20,36,,,"The measured T c 's are 30, 37.7, 36, 27.5 and 20.3 K for x = 0.10, 0.15, 0.20, 0.22 and 0.24, re- spectively."
3,PR06014617,4|4,0.22,27.5,,,"The measured T c 's are 30, 37.7, 36, 27.5 and 20.3 K for x = 0.10, 0.15, 0.20, 0.22 and 0.24, re- spectively."
4,PR06014617,4|4,0.24,20.3,,,"The measured T c 's are 30, 37.7, 36, 27.5 and 20.3 K for x = 0.10, 0.15, 0.20, 0.22 and 0.24, re- spectively."
5,PR06014617,4|17,Hg-1201,60K,,,The Hg-1201 [δ = 0.10 (T c = 60K) and 0.37 (T c = 35K)] samples were prepared in Houston by the con- trolled solid-vapour reaction technique .
6,PR06014617,4|17,Hg-1201,35K,,,The Hg-1201 [δ = 0.10 (T c = 60K) and 0.37 (T c = 35K)] samples were prepared in Houston by the con- trolled solid-vapour reaction technique .
7,PR06114956,5|2,z=0.39,36 K,,,"The crystal with z=0.39 is optimally-doped; the optimum T c is 36 K, which is very high for BSLCO and indicates that the crystals reported here are among the best crystals available to date."
8,PR06114956,8|2,BSLCO crystals,36 K,,,"Figure shows the plot of T c /T max c vs S(290K) of our BSLCO crystals (T max c = 36 K), together with the ""universal"" relation reproduced as a dashed line."
9,PR06114956,17|1,BSLCO,36 K,,,
10,PR05003221,3|0,x=0.15,38 K,ambient pressure,,"International Symposium on Lattice Effects in Cuprate High Temperature Superconductors IOP Publishing Journal of Physics: Conference Series 108 (2008) 012024 doi:10.1088/1742-6596/108/1/012024 c 2008 IOP Publishing Ltd increase of the superconducting transition temperature with pressure, dT c /dp occurs for the x=0.15 compound, and T c increases from 38 K, at ambient pressure, to 42K at ∼2 GPa."
